"filename", "language", "pip requirements", "Python", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"/home/krzych/Desktop/jamwithme/users/migrations/0022_remove_message_email.py", "Python", 0, 8, 0, 0, 0, 1, 6, 15
"/home/krzych/Desktop/jamwithme/users/migrations/0023_alter_message_options_remove_message_subject.py", "Python", 0, 11, 0, 0, 0, 1, 6, 18
"/home/krzych/Desktop/jamwithme/users/migrations/0024_conversation_message_conversation.py", "Python", 0, 44, 0, 0, 0, 1, 6, 51
"/home/krzych/Desktop/jamwithme/users/migrations/0025_remove_conversation_participants_and_more.py", "Python", 0, 13, 0, 0, 0, 1, 6, 20
"/home/krzych/Desktop/jamwithme/users/migrations/0026_conversation_name.py", "Python", 0, 12, 0, 0, 0, 1, 6, 19
"/home/krzych/Desktop/jamwithme/users/migrations/0027_alter_conversation_name.py", "Python", 0, 14, 0, 0, 0, 1, 6, 21
"/home/krzych/Desktop/jamwithme/users/migrations/0028_remove_conversation_name.py", "Python", 0, 8, 0, 0, 0, 1, 6, 15
"/home/krzych/Desktop/jamwithme/users/migrations/0029_conversation_name.py", "Python", 0, 14, 0, 0, 0, 1, 6, 21
"/home/krzych/Desktop/jamwithme/users/migrations/0030_remove_conversation_name.py", "Python", 0, 8, 0, 0, 0, 1, 6, 15
"/home/krzych/Desktop/jamwithme/users/migrations/0031_conversation_name.py", "Python", 0, 14, 0, 0, 0, 1, 6, 21
"/home/krzych/Desktop/jamwithme/users/migrations/0032_remove_message_recipient.py", "Python", 0, 8, 0, 0, 0, 1, 6, 15
"/home/krzych/Desktop/jamwithme/users/migrations/0033_alter_message_options.py", "Python", 0, 10, 0, 0, 0, 1, 6, 17
"/home/krzych/Desktop/jamwithme/users/migrations/0034_conversation_updated_alter_conversation_name_and_more.py", "Python", 0, 28, 0, 0, 0, 1, 6, 35
"/home/krzych/Desktop/jamwithme/users/migrations/0035_remove_message_conversation_remove_message_sender_and_more.py", "Python", 0, 11, 0, 0, 0, 1, 6, 18
"/home/krzych/Desktop/jamwithme/users/migrations/0036_alter_profile_options.py", "Python", 0, 11, 0, 0, 0, 1, 6, 18
"/home/krzych/Desktop/jamwithme/users/migrations/0037_alter_profile_bio_alter_profile_email_and_more.py", "Python", 0, 27, 0, 0, 0, 1, 6, 34
"/home/krzych/Desktop/jamwithme/users/migrations/0038_alter_profile_bio.py", "Python", 0, 12, 0, 0, 0, 1, 6, 19
"/home/krzych/Desktop/jamwithme/users/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/krzych/Desktop/jamwithme/users/models.py", "Python", 0, 48, 0, 0, 0, 3, 10, 61
"/home/krzych/Desktop/jamwithme/users/signals.py", "Python", 0, 38, 0, 0, 0, 0, 11, 49
"/home/krzych/Desktop/jamwithme/users/templates/users/followers.html", "HTML", 0, 0, 42, 0, 0, 0, 7, 49
"/home/krzych/Desktop/jamwithme/users/templates/users/following.html", "HTML", 0, 0, 38, 0, 0, 0, 6, 44
"/home/krzych/Desktop/jamwithme/users/templates/users/login.html", "HTML", 0, 0, 19, 0, 0, 0, 2, 21
"/home/krzych/Desktop/jamwithme/users/templates/users/profile.html", "HTML", 0, 0, 118, 0, 0, 0, 9, 127
"/home/krzych/Desktop/jamwithme/users/templates/users/profiles.html", "HTML", 0, 0, 50, 0, 0, 1, 8, 59
"/home/krzych/Desktop/jamwithme/users/templates/users/register.html", "HTML", 0, 0, 17, 0, 0, 3, 4, 24
"/home/krzych/Desktop/jamwithme/users/templates/users/settings.html", "HTML", 0, 0, 13, 0, 0, 5, 5, 23
"/home/krzych/Desktop/jamwithme/users/templates/users/skill_form.html", "HTML", 0, 0, 16, 0, 0, 0, 2, 18
"/home/krzych/Desktop/jamwithme/users/tests.py", "Python", 0, 1, 0, 0, 0, 1, 2, 4
"/home/krzych/Desktop/jamwithme/users/urls.py", "Python", 0, 15, 0, 0, 0, 0, 1, 16
"/home/krzych/Desktop/jamwithme/users/utils.py", "Python", 0, 36, 0, 0, 0, 0, 7, 43
"/home/krzych/Desktop/jamwithme/users/views.py", "Python", 0, 165, 0, 0, 0, 0, 27, 192
"Total", "-", 65, 2722, 1308, 0, 64, 302, 877, 5338
